title,artist,genre,year,bpm,lyrics
Hot N Cold,Katy Perry,1.0,-1.2775836,-0.11989873,5.0
née-nah,21 Savage,1.0,1.5615102,1.4018892,5.196152422706632
Come a Little Closer,Cage The Elephant,1.0,-0.39036673,0.61793786,5.5677643628300215
Jerry Sprunger,T-Pain,1.0,0.67429346,-1.5955719,4.123105625617661
Clarity,Zedd,1.0,-0.5678101,-0.3043579,5.5677643628300215
